temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour,Date
36°,22°,5km/h,22°,3mm,99%,7.5km,59%,40,22°C,1013hPa,06:40:00,18:29:00,11:49:0,2022/01/09
37°,22°,5km/h,22°,1mm,99%,7.75km,64%,40,22°C,1012hPa,06:41:00,18:30:00,11:49:0,2022/01/10
38°,21°,5km/h,21°,1mm,98%,8.75km,42%,40,21°C,1012hPa,06:41:00,18:30:00,11:49:0,2022/01/11
37°,22°,6km/h,22°,0mm,98%,8.75km,41%,41,21°C,1013hPa,06:41:00,18:31:00,11:50:0,2022/01/12
34°,22°,6km/h,22°,0mm,98%,8.75km,55%,37,22°C,1014hPa,06:42:00,18:31:00,11:49:0,2022/01/13
35°,22°,8km/h,22°,1mm,99%,7.75km,58%,39,22°C,1014hPa,06:42:00,18:31:00,11:49:0,2022/01/14
35°,22°,7km/h,22°,0mm,99%,7.75km,43%,39,22°C,1014hPa,06:42:00,18:32:00,11:50:0,2022/01/15
37°,21°,5km/h,21°,,99%,7.5km,56%,39,21°C,1015hPa,06:42:00,18:32:00,11:50:0,2022/01/16
36°,22°,7km/h,22°,,96%,9km,23%,37,21°C,1016hPa,06:43:00,18:33:00,11:50:0,2022/01/17
37°,20°,4km/h,20°,,99%,7.5km,42%,37,20°C,1015hPa,06:43:00,18:33:00,11:50:0,2022/01/18
39°,20°,6km/h,20°,,99%,7.5km,40%,38,21°C,1016hPa,06:43:00,18:34:00,11:51:0,2022/01/19
39°,20°,5km/h,20°,,99%,7.5km,33%,39,20°C,1015hPa,06:43:00,18:34:00,11:51:0,2022/01/20
36°,20°,4km/h,20°,,99%,7.75km,32%,37,20°C,1014hPa,06:44:00,18:34:00,11:50:0,2022/01/21
37°,20°,8km/h,20°,,99%,8.75km,44%,37,20°C,1014hPa,06:44:00,18:35:00,11:51:0,2022/01/22
37°,20°,6km/h,20°,,99%,7.5km,56%,37,20°C,1014hPa,06:44:00,18:35:00,11:51:0,2022/01/23
37°,20°,5km/h,20°,,99%,7.5km,46%,39,20°C,1014hPa,06:44:00,18:35:00,11:51:0,2022/01/24
38°,20°,6km/h,20°,,99%,7.5km,31%,40,20°C,1013hPa,06:44:00,18:36:00,11:52:0,2022/01/25
37°,20°,5km/h,20°,,99%,6.5km,44%,38,20°C,1012hPa,06:44:00,18:36:00,11:52:0,2022/01/26
37°,21°,4km/h,21°,,98%,6.5km,46%,39,20°C,1013hPa,06:44:00,18:36:00,11:52:0,2022/01/27
38°,20°,6km/h,20°,,99%,7.5km,51%,38,21°C,1013hPa,06:44:00,18:37:00,11:53:0,2022/01/28
37°,20°,5km/h,20°,,99%,7.75km,37%,40,20°C,1013hPa,06:45:00,18:37:00,11:52:0,2022/01/29
38°,21°,8km/h,21°,,99%,7.5km,43%,39,21°C,1013hPa,06:45:00,18:37:00,11:52:0,2022/01/30
39°,20°,7km/h,20°,,99%,7.5km,42%,41,21°C,1013hPa,06:45:00,18:37:00,11:52:0,2022/01/31
29°,25°,11km/h,25°,6mm,87%,9.5km,55%,33,23°C,1013hPa,06:34:00,18:26:00,11:52:0,2022/01/01
31°,25°,8km/h,25°,6mm,88%,9.5km,57%,36,24°C,1012hPa,06:35:00,18:26:00,11:51:0,2022/01/02
34°,25°,13km/h,25°,7mm,89%,9.375km,65%,41,25°C,1012hPa,06:35:00,18:27:00,11:52:0,2022/01/03
29°,24°,12km/h,24°,8mm,89%,9.125km,64%,34,24°C,1012hPa,06:36:00,18:27:00,11:51:0,2022/01/04
30°,26°,10km/h,26°,5mm,85%,9.875km,64%,33,23°C,1012hPa,06:36:00,18:28:00,11:52:0,2022/01/05
29°,25°,10km/h,25°,5mm,87%,9.625km,54%,33,23°C,1012hPa,06:36:00,18:28:00,11:52:0,2022/01/06
29°,25°,11km/h,25°,2mm,87%,9.75km,45%,33,23°C,1013hPa,06:37:00,18:29:00,11:52:0,2022/01/07
31°,25°,12km/h,25°,5mm,87%,9.375km,63%,36,23°C,1012hPa,06:37:00,18:29:00,11:52:0,2022/01/08
31°,25°,11km/h,25°,6mm,89%,9.625km,73%,35,23°C,1012hPa,06:38:00,18:29:00,11:51:0,2022/01/09
31°,25°,13km/h,25°,2mm,91%,9.75km,46%,36,24°C,1011hPa,06:38:00,18:30:00,11:52:0,2022/01/10
31°,24°,17km/h,24°,1mm,91%,10km,45%,36,24°C,1012hPa,06:38:00,18:30:00,11:52:0,2022/01/11
31°,24°,17km/h,24°,1mm,91%,9.875km,43%,37,24°C,1013hPa,06:39:00,18:31:00,11:52:0,2022/01/12
30°,24°,12km/h,24°,3mm,92%,9.75km,55%,33,23°C,1014hPa,06:39:00,18:31:00,11:52:0,2022/01/13
29°,24°,11km/h,24°,5mm,93%,9.75km,57%,33,23°C,1014hPa,06:39:00,18:32:00,11:53:0,2022/01/14
31°,24°,11km/h,24°,2mm,93%,9.75km,45%,36,24°C,1014hPa,06:40:00,18:32:00,11:52:0,2022/01/15
30°,24°,15km/h,24°,1mm,92%,9.875km,41%,34,23°C,1014hPa,06:40:00,18:33:00,11:53:0,2022/01/16
32°,24°,14km/h,24°,1mm,91%,10km,25%,38,24°C,1015hPa,06:40:00,18:33:00,11:53:0,2022/01/17
32°,24°,15km/h,24°,2mm,90%,9.75km,38%,38,24°C,1014hPa,06:40:00,18:33:00,11:53:0,2022/01/18
31°,24°,16km/h,24°,2mm,90%,9.75km,35%,36,23°C,1015hPa,06:41:00,18:34:00,11:53:0,2022/01/19
34°,24°,17km/h,24°,1mm,91%,10km,23%,39,23°C,1014hPa,06:41:00,18:34:00,11:53:0,2022/01/20
31°,24°,17km/h,24°,1mm,90%,9.875km,28%,35,22°C,1013hPa,06:41:00,18:34:00,11:53:0,2022/01/21
32°,24°,17km/h,24°,0mm,85%,10km,22%,37,23°C,1013hPa,06:41:00,18:35:00,11:54:0,2022/01/22
31°,24°,17km/h,24°,1mm,85%,9.875km,36%,35,22°C,1013hPa,06:41:00,18:35:00,11:54:0,2022/01/23
33°,24°,17km/h,24°,0mm,89%,10km,23%,38,23°C,1013hPa,06:42:00,18:35:00,11:53:0,2022/01/24
33°,23°,19km/h,23°,0mm,93%,10km,10%,39,23°C,1013hPa,06:42:00,18:36:00,11:54:0,2022/01/25
31°,23°,19km/h,23°,1mm,93%,9.875km,44%,35,23°C,1012hPa,06:42:00,18:36:00,11:54:0,2022/01/26
31°,24°,14km/h,24°,2mm,88%,9.75km,47%,35,22°C,1012hPa,06:42:00,18:36:00,11:54:0,2022/01/27
32°,24°,15km/h,24°,0mm,86%,10km,25%,37,23°C,1012hPa,06:42:00,18:37:00,11:55:0,2022/01/28
33°,23°,16km/h,23°,0mm,89%,10km,25%,38,23°C,1013hPa,06:42:00,18:37:00,11:55:0,2022/01/29
33°,24°,18km/h,24°,1mm,93%,10km,39%,40,24°C,1013hPa,06:42:00,18:37:00,11:55:0,2022/01/30
34°,24°,19km/h,24°,1mm,91%,9.875km,35%,40,23°C,1012hPa,06:42:00,18:37:00,11:55:0,2022/01/31
29°,25°,11km/h,25°,6mm,87%,9.5km,55%,33,23°C,1013hPa,06:32:00,18:23:00,11:51:0,2022/01/01
31°,25°,8km/h,25°,6mm,88%,9.5km,57%,36,24°C,1012hPa,06:33:00,18:24:00,11:51:0,2022/01/02
34°,25°,13km/h,25°,7mm,89%,9.375km,65%,41,25°C,1012hPa,06:33:00,18:24:00,11:51:0,2022/01/03
29°,24°,12km/h,24°,8mm,89%,9.125km,64%,34,24°C,1012hPa,06:34:00,18:25:00,11:51:0,2022/01/04
30°,26°,10km/h,26°,5mm,85%,9.875km,64%,33,23°C,1012hPa,06:34:00,18:25:00,11:51:0,2022/01/05
29°,25°,10km/h,25°,5mm,87%,9.625km,54%,33,23°C,1012hPa,06:35:00,18:26:00,11:51:0,2022/01/06
29°,25°,11km/h,25°,2mm,87%,9.75km,45%,33,23°C,1013hPa,06:35:00,18:26:00,11:51:0,2022/01/07
31°,25°,12km/h,25°,5mm,87%,9.375km,63%,36,23°C,1012hPa,06:35:00,18:26:00,11:51:0,2022/01/08
31°,25°,11km/h,25°,6mm,89%,9.625km,73%,35,23°C,1012hPa,06:36:00,18:27:00,11:51:0,2022/01/09
31°,25°,13km/h,25°,2mm,91%,9.75km,46%,36,24°C,1011hPa,06:36:00,18:27:00,11:51:0,2022/01/10
31°,24°,17km/h,24°,1mm,91%,10km,45%,36,24°C,1012hPa,06:36:00,18:28:00,11:52:0,2022/01/11
31°,24°,17km/h,24°,1mm,91%,9.875km,43%,37,24°C,1013hPa,06:37:00,18:28:00,11:51:0,2022/01/12
30°,24°,12km/h,24°,3mm,92%,9.75km,55%,33,23°C,1014hPa,06:37:00,18:29:00,11:52:0,2022/01/13
29°,24°,11km/h,24°,5mm,93%,9.75km,57%,33,23°C,1014hPa,06:37:00,18:29:00,11:52:0,2022/01/14
31°,24°,11km/h,24°,2mm,93%,9.75km,45%,36,24°C,1014hPa,06:38:00,18:30:00,11:52:0,2022/01/15
30°,24°,15km/h,24°,1mm,92%,9.875km,41%,34,23°C,1014hPa,06:38:00,18:30:00,11:52:0,2022/01/16
32°,24°,14km/h,24°,1mm,91%,10km,25%,38,24°C,1015hPa,06:38:00,18:30:00,11:52:0,2022/01/17
32°,24°,15km/h,24°,2mm,90%,9.75km,38%,38,24°C,1014hPa,06:38:00,18:31:00,11:53:0,2022/01/18
31°,24°,16km/h,24°,2mm,90%,9.75km,35%,36,23°C,1015hPa,06:39:00,18:31:00,11:52:0,2022/01/19
34°,24°,17km/h,24°,1mm,91%,10km,23%,39,23°C,1014hPa,06:39:00,18:32:00,11:53:0,2022/01/20
31°,24°,17km/h,24°,1mm,90%,9.875km,28%,35,22°C,1013hPa,06:39:00,18:32:00,11:53:0,2022/01/21
32°,24°,17km/h,24°,0mm,85%,10km,22%,37,23°C,1013hPa,06:39:00,18:32:00,11:53:0,2022/01/22
31°,24°,17km/h,24°,1mm,85%,9.875km,36%,35,22°C,1013hPa,06:39:00,18:33:00,11:54:0,2022/01/23
33°,24°,17km/h,24°,0mm,89%,10km,23%,38,23°C,1013hPa,06:40:00,18:33:00,11:53:0,2022/01/24
33°,23°,19km/h,23°,0mm,93%,10km,10%,39,23°C,1013hPa,06:40:00,18:33:00,11:53:0,2022/01/25
31°,23°,19km/h,23°,1mm,93%,9.875km,44%,35,23°C,1012hPa,06:40:00,18:34:00,11:54:0,2022/01/26
31°,24°,14km/h,24°,2mm,88%,9.75km,47%,35,22°C,1012hPa,06:40:00,18:34:00,11:54:0,2022/01/27
32°,24°,15km/h,24°,0mm,86%,10km,25%,37,23°C,1012hPa,06:40:00,18:34:00,11:54:0,2022/01/28
33°,23°,16km/h,23°,0mm,89%,10km,25%,38,23°C,1013hPa,06:40:00,18:34:00,11:54:0,2022/01/29
33°,24°,18km/h,24°,1mm,93%,10km,39%,40,24°C,1013hPa,06:40:00,18:35:00,11:55:0,2022/01/30
34°,24°,19km/h,24°,1mm,91%,9.875km,35%,40,23°C,1012hPa,06:40:00,18:35:00,11:55:0,2022/01/31
37°,20°,8km/h,20°,0mm,84%,10km,20%,38,18°C,1014hPa,06:40:00,18:20:00,11:40:0,2022/01/01
37°,20°,8km/h,20°,1mm,80%,10km,23%,36,16°C,1013hPa,06:40:00,18:21:00,11:41:0,2022/01/02
35°,20°,8km/h,20°,0mm,66%,10km,31%,33,17°C,1013hPa,06:41:00,18:21:00,11:40:0,2022/01/03
33°,20°,8km/h,20°,1mm,87%,10km,33%,32,18°C,1012hPa,06:41:00,18:22:00,11:41:0,2022/01/04
35°,21°,7km/h,21°,1mm,85%,9.75km,43%,38,20°C,1013hPa,06:42:00,18:22:00,11:40:0,2022/01/05
35°,20°,8km/h,20°,2mm,89%,9.5km,63%,35,19°C,1013hPa,06:42:00,18:23:00,11:41:0,2022/01/06
33°,20°,4km/h,20°,8mm,99%,9.625km,66%,35,21°C,1013hPa,06:42:00,18:23:00,11:41:0,2022/01/07
35°,20°,5km/h,20°,2mm,97%,8.25km,69%,37,20°C,1013hPa,06:43:00,18:24:00,11:41:0,2022/01/08
35°,20°,6km/h,20°,3mm,97%,9.5km,67%,37,20°C,1013hPa,06:43:00,18:24:00,11:41:0,2022/01/09
38°,19°,8km/h,19°,1mm,89%,10km,32%,37,17°C,1012hPa,06:43:00,18:25:00,11:42:0,2022/01/10
38°,19°,6km/h,19°,0mm,51%,10km,12%,38,11°C,1013hPa,06:44:00,18:25:00,11:41:0,2022/01/11
39°,18°,6km/h,18°,0mm,67%,10km,16%,38,14°C,1014hPa,06:44:00,18:26:00,11:42:0,2022/01/12
36°,19°,6km/h,19°,1mm,96%,9km,35%,36,19°C,1014hPa,06:44:00,18:26:00,11:42:0,2022/01/13
37°,18°,9km/h,18°,0mm,92%,10km,15%,40,19°C,1014hPa,06:44:00,18:27:00,11:43:0,2022/01/14
37°,20°,8km/h,20°,1mm,89%,9.875km,24%,39,19°C,1015hPa,06:45:00,18:27:00,11:42:0,2022/01/15
37°,19°,8km/h,19°,1mm,90%,10km,32%,38,18°C,1015hPa,06:45:00,18:28:00,11:43:0,2022/01/16
38°,19°,9km/h,19°,0mm,85%,10km,9%,37,18°C,1015hPa,06:45:00,18:28:00,11:43:0,2022/01/17
38°,18°,9km/h,18°,,57%,10km,2%,37,10°C,1016hPa,06:45:00,18:29:00,11:44:0,2022/01/18
37°,16°,10km/h,16°,,47%,10km,11%,36,5°C,1017hPa,06:46:00,18:29:00,11:43:0,2022/01/19
37°,16°,9km/h,16°,,35%,10km,4%,36,1°C,1015hPa,06:46:00,18:29:00,11:43:0,2022/01/20
35°,17°,8km/h,17°,,33%,10km,19%,33,3°C,1015hPa,06:46:00,18:30:00,11:44:0,2022/01/21
37°,16°,8km/h,16°,,39%,10km,6%,36,9°C,1015hPa,06:46:00,18:30:00,11:44:0,2022/01/22
37°,17°,8km/h,17°,,67%,10km,6%,36,12°C,1014hPa,06:46:00,18:31:00,11:45:0,2022/01/23
38°,18°,7km/h,18°,,73%,10km,10%,37,13°C,1014hPa,06:46:00,18:31:00,11:45:0,2022/01/24
38°,17°,9km/h,17°,,63%,10km,2%,37,10°C,1014hPa,06:46:00,18:31:00,11:45:0,2022/01/25
38°,17°,10km/h,17°,,45%,10km,2%,37,7°C,1013hPa,06:46:00,18:32:00,11:46:0,2022/01/26
34°,18°,9km/h,18°,,94%,9km,27%,36,19°C,1013hPa,06:46:00,18:32:00,11:46:0,2022/01/27
36°,18°,7km/h,18°,,90%,10km,13%,35,18°C,1013hPa,06:46:00,18:33:00,11:47:0,2022/01/28
37°,19°,8km/h,19°,,90%,10km,15%,38,18°C,1013hPa,06:46:00,18:33:00,11:47:0,2022/01/29
39°,19°,10km/h,19°,,88%,10km,6%,38,17°C,1013hPa,06:46:00,18:33:00,11:47:0,2022/01/30
38°,17°,9km/h,17°,,78%,10km,1%,37,14°C,1013hPa,06:46:00,18:34:00,11:48:0,2022/01/31
29°,26°,12km/h,26°,6mm,84%,9.375km,60%,33,24°C,1013hPa,06:37:00,18:29:00,11:52:0,2022/01/01
30°,26°,10km/h,26°,8mm,84%,9.25km,63%,34,24°C,1012hPa,06:37:00,18:30:00,11:53:0,2022/01/02
32°,26°,9km/h,26°,6mm,85%,9.125km,65%,38,25°C,1012hPa,06:37:00,18:30:00,11:53:0,2022/01/03
29°,25°,12km/h,25°,7mm,84%,9.625km,63%,33,23°C,1012hPa,06:38:00,18:30:00,11:52:0,2022/01/04
29°,26°,10km/h,26°,7mm,84%,9.125km,64%,33,24°C,1012hPa,06:38:00,18:31:00,11:53:0,2022/01/05
29°,25°,10km/h,25°,7mm,84%,9.375km,52%,33,23°C,1012hPa,06:39:00,18:31:00,11:52:0,2022/01/06
29°,25°,12km/h,25°,7mm,85%,9.25km,70%,33,24°C,1013hPa,06:39:00,18:32:00,11:53:0,2022/01/07
30°,26°,11km/h,26°,3mm,83%,9.625km,72%,34,23°C,1012hPa,06:40:00,18:32:00,11:52:0,2022/01/08
29°,26°,11km/h,26°,7mm,85%,9.75km,72%,34,24°C,1012hPa,06:40:00,18:33:00,11:53:0,2022/01/09
31°,25°,12km/h,25°,5mm,86%,9.75km,59%,35,23°C,1011hPa,06:40:00,18:33:00,11:53:0,2022/01/10
30°,25°,13km/h,25°,3mm,87%,9.625km,58%,34,23°C,1012hPa,06:41:00,18:34:00,11:53:0,2022/01/11
29°,25°,15km/h,25°,3mm,86%,9.75km,54%,33,24°C,1013hPa,06:41:00,18:34:00,11:53:0,2022/01/12
29°,25°,12km/h,25°,2mm,84%,9.75km,61%,32,23°C,1014hPa,06:41:00,18:35:00,11:54:0,2022/01/13
29°,25°,12km/h,25°,8mm,87%,9.625km,71%,33,24°C,1014hPa,06:42:00,18:35:00,11:53:0,2022/01/14
29°,25°,14km/h,25°,8mm,88%,9.375km,68%,34,24°C,1014hPa,06:42:00,18:35:00,11:53:0,2022/01/15
30°,25°,12km/h,25°,5mm,86%,9.75km,60%,34,24°C,1014hPa,06:42:00,18:36:00,11:54:0,2022/01/16
32°,25°,13km/h,25°,1mm,85%,9.875km,40%,38,25°C,1015hPa,06:42:00,18:36:00,11:54:0,2022/01/17
32°,26°,16km/h,26°,4mm,82%,9.5km,54%,38,25°C,1014hPa,06:43:00,18:37:00,11:54:0,2022/01/18
31°,25°,13km/h,25°,3mm,84%,9.5km,58%,37,24°C,1015hPa,06:43:00,18:37:00,11:54:0,2022/01/19
32°,25°,13km/h,25°,3mm,85%,9.625km,50%,37,24°C,1014hPa,06:43:00,18:37:00,11:54:0,2022/01/20
31°,25°,14km/h,25°,4mm,83%,9.75km,52%,38,25°C,1013hPa,06:43:00,18:38:00,11:55:0,2022/01/21
31°,25°,15km/h,25°,1mm,80%,9.875km,49%,37,24°C,1013hPa,06:44:00,18:38:00,11:54:0,2022/01/22
31°,25°,12km/h,25°,2mm,81%,9.875km,49%,37,24°C,1013hPa,06:44:00,18:38:00,11:54:0,2022/01/23
32°,25°,14km/h,25°,1mm,83%,9.875km,40%,38,24°C,1013hPa,06:44:00,18:39:00,11:55:0,2022/01/24
33°,24°,15km/h,24°,0mm,90%,10km,17%,39,24°C,1013hPa,06:44:00,18:39:00,11:55:0,2022/01/25
32°,25°,13km/h,25°,2mm,86%,9.875km,51%,37,24°C,1012hPa,06:44:00,18:39:00,11:55:0,2022/01/26
29°,25°,12km/h,25°,2mm,82%,9.625km,58%,32,23°C,1012hPa,06:44:00,18:40:00,11:56:0,2022/01/27
32°,25°,14km/h,25°,0mm,82%,10km,28%,37,24°C,1012hPa,06:44:00,18:40:00,11:56:0,2022/01/28
32°,25°,14km/h,25°,0mm,81%,10km,15%,38,24°C,1013hPa,06:45:00,18:40:00,11:55:0,2022/01/29
32°,25°,13km/h,25°,1mm,86%,9.875km,53%,38,24°C,1013hPa,06:45:00,18:40:00,11:55:0,2022/01/30
33°,25°,17km/h,25°,1mm,84%,9.875km,37%,40,25°C,1012hPa,06:45:00,18:41:00,11:56:0,2022/01/31
36°,22°,10km/h,22°,1mm,92%,10km,40%,38,21°C,1014hPa,06:32:00,18:17:00,11:45:0,2022/01/01
39°,22°,5km/h,22°,0mm,93%,10km,37%,42,21°C,1013hPa,06:33:00,18:17:00,11:44:0,2022/01/02
36°,22°,4km/h,22°,0mm,91%,10km,55%,36,21°C,1013hPa,06:33:00,18:18:00,11:45:0,2022/01/03
33°,24°,4km/h,24°,3mm,77%,9.75km,54%,35,21°C,1012hPa,06:34:00,18:18:00,11:44:0,2022/01/04
37°,24°,7km/h,24°,0mm,82%,10km,53%,39,20°C,1013hPa,06:34:00,18:19:00,11:45:0,2022/01/05
36°,22°,7km/h,22°,1mm,92%,9.875km,39%,39,21°C,1012hPa,06:34:00,18:19:00,11:45:0,2022/01/06
36°,22°,7km/h,22°,1mm,90%,9.875km,48%,39,21°C,1013hPa,06:35:00,18:20:00,11:45:0,2022/01/07
35°,23°,6km/h,23°,1mm,89%,9.875km,49%,39,21°C,1013hPa,06:35:00,18:20:00,11:45:0,2022/01/08
37°,22°,6km/h,22°,2mm,93%,9.75km,66%,40,21°C,1012hPa,06:36:00,18:21:00,11:45:0,2022/01/09
38°,22°,5km/h,22°,0mm,96%,9km,38%,40,22°C,1012hPa,06:36:00,18:21:00,11:45:0,2022/01/10
40°,22°,8km/h,22°,,92%,10km,13%,40,21°C,1012hPa,06:36:00,18:22:00,11:46:0,2022/01/11
40°,22°,7km/h,22°,,92%,10km,14%,43,21°C,1013hPa,06:36:00,18:22:00,11:46:0,2022/01/12
38°,22°,8km/h,22°,0mm,94%,10km,33%,39,21°C,1014hPa,06:37:00,18:23:00,11:46:0,2022/01/13
38°,22°,8km/h,22°,1mm,92%,9.875km,41%,41,21°C,1014hPa,06:37:00,18:23:00,11:46:0,2022/01/14
37°,22°,8km/h,22°,1mm,94%,9km,35%,40,21°C,1015hPa,06:37:00,18:23:00,11:46:0,2022/01/15
37°,22°,8km/h,22°,0mm,94%,10km,23%,38,21°C,1015hPa,06:38:00,18:24:00,11:46:0,2022/01/16
39°,22°,9km/h,22°,,90%,10km,7%,38,20°C,1016hPa,06:38:00,18:24:00,11:46:0,2022/01/17
39°,20°,5km/h,20°,,94%,10km,6%,39,19°C,1015hPa,06:38:00,18:25:00,11:47:0,2022/01/18
38°,20°,6km/h,20°,,94%,9km,8%,37,19°C,1016hPa,06:38:00,18:25:00,11:47:0,2022/01/19
39°,19°,6km/h,19°,,78%,10km,2%,38,15°C,1015hPa,06:38:00,18:26:00,11:48:0,2022/01/20
38°,19°,5km/h,19°,,72%,10km,7%,38,16°C,1014hPa,06:39:00,18:26:00,11:47:0,2022/01/21
38°,20°,9km/h,20°,,96%,9km,14%,39,20°C,1014hPa,06:39:00,18:26:00,11:47:0,2022/01/22
38°,20°,6km/h,20°,,96%,9km,18%,39,20°C,1014hPa,06:39:00,18:27:00,11:48:0,2022/01/23
39°,20°,6km/h,20°,,94%,10km,7%,40,19°C,1014hPa,06:39:00,18:27:00,11:48:0,2022/01/24
39°,20°,8km/h,20°,,88%,10km,3%,39,19°C,1013hPa,06:39:00,18:27:00,11:48:0,2022/01/25
39°,19°,8km/h,19°,,91%,10km,7%,38,19°C,1012hPa,06:39:00,18:28:00,11:49:0,2022/01/26
36°,20°,12km/h,20°,,98%,8.75km,38%,39,20°C,1013hPa,06:39:00,18:28:00,11:49:0,2022/01/27
39°,21°,9km/h,21°,,95%,9km,25%,43,20°C,1013hPa,06:39:00,18:28:00,11:49:0,2022/01/28
38°,21°,8km/h,21°,,93%,10km,14%,41,19°C,1013hPa,06:39:00,18:29:00,11:50:0,2022/01/29
40°,21°,9km/h,21°,,95%,9km,14%,40,20°C,1013hPa,06:39:00,18:29:00,11:50:0,2022/01/30
39°,20°,8km/h,20°,,94%,10km,6%,39,20°C,1013hPa,06:39:00,18:29:00,11:50:0,2022/01/31
36°,21°,5km/h,21°,1mm,99%,7.75km,58%,38,21°C,1014hPa,06:25:00,18:10:00,11:45:0,2022/01/01
39°,22°,4km/h,22°,0mm,99%,7.75km,44%,41,22°C,1012hPa,06:25:00,18:10:00,11:45:0,2022/01/02
37°,22°,3km/h,22°,0mm,98%,7.5km,54%,37,21°C,1013hPa,06:26:00,18:11:00,11:45:0,2022/01/03
35°,23°,4km/h,23°,1mm,88%,9.875km,48%,37,21°C,1012hPa,06:26:00,18:11:00,11:45:0,2022/01/04
35°,23°,6km/h,23°,2mm,94%,9km,47%,37,22°C,1013hPa,06:27:00,18:12:00,11:45:0,2022/01/05
36°,21°,5km/h,21°,0mm,99%,7.75km,49%,38,22°C,1013hPa,06:27:00,18:12:00,11:45:0,2022/01/06
33°,21°,7km/h,21°,1mm,100%,7.375km,72%,36,22°C,1013hPa,06:27:00,18:13:00,11:46:0,2022/01/07
36°,23°,5km/h,23°,2mm,94%,10km,57%,39,22°C,1013hPa,06:28:00,18:13:00,11:45:0,2022/01/08
37°,21°,5km/h,21°,1mm,99%,7.625km,60%,39,21°C,1013hPa,06:28:00,18:14:00,11:46:0,2022/01/09
37°,21°,3km/h,21°,0mm,99%,7.75km,53%,38,22°C,1012hPa,06:28:00,18:14:00,11:46:0,2022/01/10
39°,21°,5km/h,21°,,99%,8.75km,33%,42,21°C,1012hPa,06:29:00,18:15:00,11:46:0,2022/01/11
39°,21°,6km/h,21°,0mm,99%,7.75km,26%,42,21°C,1013hPa,06:29:00,18:15:00,11:46:0,2022/01/12
38°,22°,6km/h,22°,1mm,100%,7.5km,64%,39,22°C,1014hPa,06:29:00,18:16:00,11:47:0,2022/01/13
37°,21°,6km/h,21°,0mm,99%,7.75km,57%,40,21°C,1014hPa,06:30:00,18:16:00,11:46:0,2022/01/14
38°,21°,4km/h,21°,,99%,7.75km,37%,38,21°C,1015hPa,06:30:00,18:16:00,11:46:0,2022/01/15
38°,21°,6km/h,21°,,99%,7.5km,35%,40,21°C,1015hPa,06:30:00,18:17:00,11:47:0,2022/01/16
38°,20°,6km/h,20°,,99%,7.5km,28%,37,20°C,1016hPa,06:30:00,18:17:00,11:47:0,2022/01/17
39°,19°,3km/h,19°,,99%,7.5km,32%,39,20°C,1015hPa,06:31:00,18:18:00,11:47:0,2022/01/18
38°,20°,6km/h,20°,,99%,7.5km,31%,37,21°C,1016hPa,06:31:00,18:18:00,11:47:0,2022/01/19
39°,18°,7km/h,18°,,99%,8.75km,16%,39,19°C,1015hPa,06:31:00,18:19:00,11:48:0,2022/01/20
38°,19°,5km/h,19°,,99%,8.75km,25%,38,20°C,1014hPa,06:31:00,18:19:00,11:48:0,2022/01/21
38°,19°,6km/h,19°,,99%,7.5km,30%,39,19°C,1014hPa,06:31:00,18:19:00,11:48:0,2022/01/22
39°,19°,5km/h,19°,,99%,7.5km,35%,38,20°C,1014hPa,06:32:00,18:20:00,11:48:0,2022/01/23
39°,19°,3km/h,19°,,99%,7.5km,32%,40,20°C,1014hPa,06:32:00,18:20:00,11:48:0,2022/01/24
40°,19°,6km/h,19°,,99%,7.5km,25%,40,19°C,1013hPa,06:32:00,18:20:00,11:48:0,2022/01/25
39°,19°,6km/h,19°,,99%,7.5km,30%,38,20°C,1013hPa,06:32:00,18:21:00,11:49:0,2022/01/26
38°,20°,6km/h,20°,,99%,6.5km,46%,37,20°C,1013hPa,06:32:00,18:21:00,11:49:0,2022/01/27
39°,19°,6km/h,19°,,99%,7.5km,36%,42,20°C,1012hPa,06:32:00,18:21:00,11:49:0,2022/01/28
40°,20°,5km/h,20°,,99%,7.5km,31%,41,20°C,1013hPa,06:32:00,18:22:00,11:50:0,2022/01/29
40°,20°,6km/h,20°,,99%,7.5km,34%,40,21°C,1014hPa,06:32:00,18:22:00,11:50:0,2022/01/30
39°,19°,6km/h,19°,,99%,7.5km,31%,39,21°C,1013hPa,06:32:00,18:22:00,11:50:0,2022/01/31
33°,26°,12km/h,26°,5mm,84%,9.625km,70%,40,24°C,1013hPa,06:22:00,18:11:00,11:49:0,2022/01/01
31°,25°,13km/h,25°,7mm,86%,9.375km,68%,35,24°C,1012hPa,06:22:00,18:12:00,11:50:0,2022/01/02
34°,25°,15km/h,25°,2mm,86%,9.875km,61%,41,24°C,1012hPa,06:23:00,18:12:00,11:49:0,2022/01/03
30°,25°,13km/h,25°,8mm,87%,9.625km,57%,34,23°C,1012hPa,06:23:00,18:13:00,11:50:0,2022/01/04
33°,25°,16km/h,25°,3mm,84%,9.625km,61%,41,25°C,1012hPa,06:23:00,18:13:00,11:50:0,2022/01/05
30°,25°,12km/h,25°,6mm,85%,9.75km,61%,34,23°C,1012hPa,06:24:00,18:14:00,11:50:0,2022/01/06
